_id,name,id
ObjectId("5de858562e0ddc657d1b6ba6"),Fideicomiso del Fondo de Microfinanciamiento a Mujeres Rurales,FOMMUR-137
ObjectId("5de858562e0ddc657d1b6ba7"),Instituto Nacional de Cardiología Ignacio Chávez,INCARD-199
ObjectId("5de858562e0ddc657d1b6ba8"),Exportadora de Sal, S.A. de C.V.,ESSA-128
ObjectId("5de858562e0ddc657d1b6ba9"),Centro de Capacitación Cinematográfica, A.C.,CCC-33
ObjectId("5de858562e0ddc657d1b6baa"),Compañía Operadora del Centro Cultural y Turístico de Tijuana, S.A. de C.V.,CECUTT-106
ObjectId("5de858562e0ddc657d1b6bab"),Instituto Nacional de Medicina Genómica,INMEGEN-213
ObjectId("5de858562e0ddc657d1b6bac"),Instituto Nacional de Investigaciones Nucleares,ININ-207
ObjectId("5de858562e0ddc657d1b6bad"),Productora Nacional de Biológicos Veterinarios,PRONABIVE-252
ObjectId("5de858562e0ddc657d1b6bae"),Administración Portuaria Integral de Lázaro Cárdenas, S.A. de C.V.,API-Lázaro Cárdenas-8
ObjectId("5de858562e0ddc657d1b6baf"),INFOTEC Centro de Investigación e Innovación en Tecnologías de la Información y Comunicación,INFOTEC-153
ObjectId("5de858562e0ddc657d1b6bb0"),Comité Nacional para el Desarrollo Sustentable de la Caña de Azúcar,CONADESUCA-104
ObjectId("5de858562e0ddc657d1b6bb1"),Administración Portuaria Integral de Guaymas, S.A. de C.V.,API-Guaymas-7
ObjectId("5de858562e0ddc657d1b6bb2"),El Colegio de la Frontera Norte, A.C.,COLEF-122
ObjectId("5de858562e0ddc657d1b6bb3"),Seguros de Crédito a la Vivienda SHF, S.A. de C.V.,SCVSHF-283
ObjectId("5de858562e0ddc657d1b6bb4"),CIATEQ, A.C. Centro de Tecnología Avanzada,CIATEQ-68
ObjectId("5de858562e0ddc657d1b6bb5"),Instituto del Fondo Nacional para el Consumo de los Trabajadores,INFONACOT-183
ObjectId("5de858562e0ddc657d1b6bb6"),Instituto Nacional de Cancerología,INCAN-198
ObjectId("5de858562e0ddc657d1b6bb7"),Centro de Investigación Científica de Yucatán, A.C.,CICY-38
ObjectId("5de858562e0ddc657d1b6bb8"),Administración Portuaria Integral de Tuxpan, S.A. de C.V.,API-Tuxpan-17
ObjectId("5de858562e0ddc657d1b6bb9"),Servicio Postal Mexicano,SEPOMEX-291
ObjectId("5de858562e0ddc657d1b6bba"),Colegio de Bachilleres,COLBACH-69
ObjectId("5de858562e0ddc657d1b6bbb"),Hospital Juárez de México,HJM-164
ObjectId("5de858562e0ddc657d1b6bbc"),Procuraduría Federal del Consumidor,PROFECO-250
